Time,Exchanger output,Engine Output,Inverter Output
1696582869000,40.01,25.22,23.06
1696582870000,,,
1696582871000,40.05,25.22,23.11
1696582872000,,,
1696582873000,40,25.2,23.11
1696582874000,,,
1696582875000,39.98,25.22,23.09
1696582876000,,,
1696582877000,40,25.14,23.06
1696582878000,,,
1696582879000,39.97,25.22,23.11
1696582880000,,,
1696582881000,40.07,25.18,23.1
1696582882000,,,
1696582883000,39.98,25.16,23.05
1696582884000,,,
1696582885000,39.98,25.22,23.1
1696582886000,,,
1696582887000,39.99,25.16,23.14
1696582888000,,,
1696582889000,40.02,25.11,23.09
1696582890000,,,
1696582891000,40.02,25.12,23.1
1696582892000,,,
1696582893000,39.99,25.1,23.11
1696582894000,,,
1696582895000,39.89,25.3,23.1
1696582896000,,,
1696582897000,39.93,24.99,22.92
1696582898000,,,
1696582899000,,,
1696582900000,40.11,24.69,22.88
1696582901000,,,
1696582902000,40.12,24.63,22.91
1696582903000,,,
1696582904000,40.09,24.64,23.06
1696582905000,,,
1696582906000,39.97,24.6,23.09
1696582907000,40.13,24.48,23.1
1696582908000,,,
1696582909000,40.09,24.43,23.07
1696582910000,,,
1696582911000,34.03,23.04,19.48
1696582912000,,,
1696582913000,34.37,24.34,20.34
1696582914000,,,
1696582915000,,,
1696582916000,,,
1696582917000,,,
1696582918000,35.03,23.24,20.41
1696582919000,,,
1696582920000,34.88,23.28,19.57
1696582921000,,,
1696582922000,34.56,22.68,20.81
1696582923000,,,
1696582924000,32.6,27.98,19.57
1696582925000,,,
1696582926000,32.75,29.56,21.49
1696582927000,,,
1696582928000,33.41,28.7,21.66
1696582929000,,,
1696582930000,36.17,27.27,22.71
1696582931000,,,
1696582932000,32.76,30.48,22.95
1696582933000,,,
1696582934000,34.41,28.56,21.54
1696582935000,,,
1696582936000,31.89,32.52,21.2
1696582937000,,,
1696582938000,31.71,28.32,21.47
1696582939000,,,
1696582940000,33.91,27.4,22.5
1696582941000,,,
1696582942000,31.57,28.63,22.18
1696582943000,,,
1696582944000,33.56,26.93,23.38
1696582945000,,,
1696582946000,33.11,29.69,21.92
1696582947000,,,
1696582948000,35.35,27.08,22.27
1696582949000,,,
1696582950000,32.84,31.85,23.41
1696582951000,,,
1696582952000,33.28,31.78,21.31
1696582953000,,,
1696582954000,29.9,33.26,21.61
1696582955000,,,
1696582956000,,,
1696582957000,,,
1696582958000,,,
1696582959000,,,
1696582960000,35.82,27.31,23.03
1696582961000,,,
1696582962000,,,
1696582963000,,,
1696582964000,,,
1696582965000,,,
1696582966000,,,
1696582967000,,,
1696582968000,36.89,25.67,22.8
1696582969000,,,
1696582970000,35.6,26.25,22.27
1696582971000,,,
1696582972000,39.04,27.57,22.54
1696582973000,,,
1696582974000,36.55,23.98,22.54
1696582975000,,,
1696582976000,36.7,30.4,19.95
1696582977000,,,
1696582978000,35.47,32.09,22.44
1696582979000,,,
1696582980000,34.85,29.19,23.38
1696582981000,,,
1696582982000,,,
1696582983000,,,
1696582984000,33.31,30.37,24.32
