Time,voltage
1696582869000,13.26
1696582870000,
1696582871000,13.24
1696582872000,
1696582873000,13.26
1696582874000,
1696582875000,13.26
1696582876000,
1696582877000,13.26
1696582878000,
1696582879000,13.25
1696582880000,
1696582881000,13.26
1696582882000,
1696582883000,13.26
1696582884000,
1696582885000,13.26
1696582886000,
1696582887000,13.26
1696582888000,
1696582889000,13.26
1696582890000,
1696582891000,13.26
1696582892000,
1696582893000,13.25
1696582894000,
1696582895000,13.01
1696582896000,
1696582897000,12.9
1696582898000,
1696582899000,12.85
1696582900000,
1696582901000,12.82
1696582902000,
1696582903000,12.87
1696582904000,
1696582905000,12.79
1696582906000,
1696582907000,12.81
1696582908000,
1696582909000,
1696582910000,
1696582911000,12.76
1696582912000,
1696582913000,12.78
1696582914000,
1696582915000,
1696582916000,
1696582917000,12.8
1696582918000,
1696582919000,12.77
1696582920000,
1696582921000,12.77
1696582922000,
1696582923000,12.74
1696582924000,
1696582925000,15.1
1696582926000,
1696582927000,14.76
1696582928000,
1696582929000,12.73
1696582930000,
1696582931000,12.76
1696582932000,
1696582933000,12.74
1696582934000,
1696582935000,12.74
1696582936000,
1696582937000,12.73
1696582938000,
1696582939000,12.76
1696582940000,
1696582941000,12.7
1696582942000,
1696582943000,12.8
1696582944000,
1696582945000,15.12
1696582946000,
1696582947000,
1696582948000,12.71
1696582949000,
1696582950000,12.77
1696582951000,
1696582952000,12.68
1696582953000,
1696582954000,
1696582955000,
1696582956000,
1696582957000,
1696582958000,
1696582959000,
1696582960000,
1696582961000,
1696582962000,
1696582963000,
1696582964000,
1696582965000,
1696582966000,
1696582967000,
1696582968000,12.74
1696582969000,
1696582970000,12.72
1696582971000,
1696582972000,13.95
1696582973000,
1696582974000,12.71
1696582975000,
1696582976000,12.72
1696582977000,
1696582978000,12.69
1696582979000,
1696582980000,12.74
1696582981000,
1696582982000,
1696582983000,
1696582984000,12.69
1696582985000,
1696582986000,15.05
1696582987000,
1696582988000,12.68
1696582989000,
1696582990000,12.74
1696582991000,
1696582992000,12.72
1696582993000,
1696582994000,15.06
1696582995000,
1696582996000,14.38
1696582997000,
1696582998000,12.69
1696582999000,
1696583000000,14.48
1696583001000,
1696583002000,12.66
1696583003000,
1696583004000,
1696583005000,
1696583006000,12.76
1696583007000,
1696583008000,12.7
1696583009000,
1696583010000,12.74
1696583011000,
1696583012000,12.73
1696583013000,
1696583014000,12.72
1696583015000,
1696583016000,12.71
1696583017000,
1696583018000,12.38
1696583019000,
1696583020000,12.76
1696583021000,
1696583022000,12.68
1696583023000,
1696583024000,12.69
1696583025000,
1696583026000,12.75
1696583027000,
1696583028000,12.72
1696583029000,
1696583030000,12.72
1696583031000,
1696583032000,12.74
1696583033000,
1696583034000,12.73
1696583035000,
1696583036000,12.75
1696583037000,
1696583038000,12.75
1696583039000,
1696583040000,12.7
1696583041000,
1696583042000,12.73
1696583043000,
1696583044000,12.74
1696583045000,
1696583046000,
1696583047000,
1696583048000,12.69
1696583049000,
1696583050000,12.75
1696583051000,
1696583052000,12.73
1696583053000,
1696583054000,12.73
1696583055000,
1696583056000,12.71
1696583057000,
1696583058000,12.72
1696583059000,
1696583060000,12.73
1696583061000,
1696583062000,12.73
1696583063000,
1696583064000,12.74
1696583065000,
1696583066000,12.74
1696583067000,
1696583068000,12.71
1696583069000,
1696583070000,12.72
1696583071000,
1696583072000,12.73
1696583073000,
1696583074000,12.72
1696583075000,
