"Time","Thermometer 0","Thermometer 1","Thermometer 2","Thermometer 3","Thermometer 4","Thermometer 5","Thermometer 6","Thermometer 7"
1696582869000,,,,,,,,
1696582869500,,,,,,,,
1696582870000,,,,,,,,
1696582870500,,,,,,,,
1696582871000,,,,,,,,
1696582871500,,,,,,,,
1696582872000,,,,,,,,
1696582872500,,,,,,,,
1696582873000,,,,,,,,
1696582873500,,,,,,,,
1696582874000,,,,,,,,
1696582874500,,,,,,,,
1696582875000,,,,,,,,
1696582875500,,,,,,,,
1696582876000,,,,,,,,
1696582876500,,,,,,,,
1696582877000,,,,,,,,
1696582877500,,,,,,,,
1696582878000,,,,,,,,
1696582878500,,,,,,,,
1696582879000,,,,,,,,
1696582879500,,,,,,,,
1696582880000,,,,,,,,
1696582880500,,,,,,,,
1696582881000,,,,,,,,
1696582881500,,,,,,,,
1696582882000,,,,,,,,
1696582882500,,,,,,,,
1696582883000,,,,,,,,
1696582883500,,,,,,,,
1696582884000,,,,,,,,
1696582884500,,,,,,,,
1696582885000,,,,,,,,
1696582885500,,,,,,,,
1696582886000,,,,,,,,
1696582886500,,,,,,,,
1696582887000,,,,,,,,
1696582887500,,,,,,,,
1696582888000,,,,,,,,
1696582888500,,,,,,,,
1696582889000,,,,,,,,
1696582889500,,,,,,,,
1696582890000,,,,,,,,
1696582890500,,,,,,,,
1696582891000,,,,,,,,
1696582891500,,,,,,,,
1696582892000,,,,,,,,
1696582892500,,,,,,,,
1696582893000,,,,,,,,
1696582893500,,,,,,,,
1696582894000,,,,,,,,
1696582894500,,,,,,,,
1696582895000,,,,,,,,
1696582895500,,,,,,,,
1696582896000,,,,,,,,
1696582896500,,,,,,,,
1696582897000,,,,,,,,
1696582897500,,,,,,,,
1696582898000,,,,,,,,
1696582898500,,,,,,,,
1696582899000,,,,,,,,
1696582899500,,,,,,,,
1696582900000,,,,,,,,
1696582900500,,,,,,,,
1696582901000,,,,,,,,
1696582901500,,,,,,,,
1696582902000,,,,,,,,
1696582902500,,,,,,,,
1696582903000,,,,,,,,
1696582903500,,,,,,,,
1696582904000,,,,,,,,
1696582904500,,,,,,,,
1696582905000,,,,,,,,
1696582905500,,,,,,,,
1696582906000,,,,,,,,
1696582906500,,,,,,,,
1696582907000,,,,,,,,
1696582907500,,,,,,,,
1696582908000,,,,,,,,
1696582908500,,,,,,,,
1696582909000,,,,,,,,
1696582909500,,,,,,,,
1696582910000,,,,,,,,
1696582910500,,,,,,,,
1696582911000,,,,,,,,
1696582911500,,,,,,,,
1696582912000,,,,,,,,
1696582912500,,,,,,,,
1696582913000,,,,,,,,
1696582913500,,,,,,,,
1696582914000,,,,,,,,
1696582914500,,,,,,,,
1696582915000,,,,,,,,
1696582915500,22.92,22.59,22.28,22.66,30.01,22.69,22.59,22.27
1696582916000,22.92,22.59,22.28,,,,,
1696582916500,,,,22.66,30.01,22.69,22.59,22.27
1696582917000,22.83,22.8,22.27,22.4,30.04,22.6,22.35,22.54
1696582917500,,,,,,,,
1696582918000,,,,,,,,
1696582918500,22.79,22.8,22.32,,,,,
1696582919000,,,,,,,,
1696582919500,,,,,,,,
1696582920000,22.92,22.79,22.16,22.49,30.1,22.53,22.48,22.62
1696582920500,,,,,,,,
1696582921000,22.92,22.79,22.16,22.49,30.1,22.53,22.48,22.62
1696582921500,,,,,,,,
1696582922000,22.85,22.77,22.26,22.4,30.03,22.6,22.38,22.57
1696582922500,,,,,,,,
1696582923000,22.85,22.77,22.26,22.4,30.03,22.6,22.38,22.57
1696582923500,,,,,,,,
1696582924000,22.85,22.77,22.26,22.4,30.03,22.6,22.38,22.57
1696582924500,,,,,,,,
1696582925000,22.86,22.6,22.34,22.7,29.99,22.8,22.56,22.25
1696582925500,,,,,,,,
1696582926000,22.8,22.64,22.43,22.58,29.87,22.81,22.45,22.16
1696582926500,,,,,,,,
1696582927000,,,,,,,,
1696582927500,22.85,22.58,22.35,22.64,29.88,22.82,22.53,22.18
1696582928000,22.85,22.58,22.35,22.64,29.88,22.82,22.53,22.18
1696582928500,,,,,,,,
1696582929000,22.77,22.74,22.45,22.47,29.92,22.78,22.37,22.39
1696582929500,,,,,,,,
1696582930000,22.77,22.74,22.45,22.47,29.92,22.78,22.37,22.39
1696582930500,,,,,,,,
1696582931000,22.77,22.74,22.46,,29.92,22.82,22.38,22.27
1696582931500,,,,,,,,
1696582932000,22.73,22.67,22.44,22.54,29.91,22.79,22.34,22.15
1696582932500,,,,22.54,29.91,22.79,22.34,22.15
1696582933000,22.88,22.82,22.3,22.46,29.99,22.58,22.33,22.61
1696582933500,22.88,22.82,22.3,,,,,
1696582934000,,,,22.46,29.99,22.58,22.33,22.61
1696582934500,22.93,22.8,22.21,22.5,30.07,22.63,22.36,22.69
1696582935000,,,,,,,,
1696582935500,,,,,,,,
1696582936000,,,,,,,,
1696582936500,,,,,,,,
1696582937000,,,,,,,,
1696582937500,,,,,,,,
1696582938000,,,,,,,,
1696582938500,,,,,,,,
1696582939000,,,,,,,,
1696582939500,,,,,,,,
1696582940000,,,,,,,,
1696582940500,,,,,,,,
1696582941000,,,,,,,,
1696582941500,,,,,,,,
1696582942000,,,,,,,,
