"Time","AC Current","DC Current"
1696582869000,0,0
1696582869500,0,0
1696582870000,0,0
1696582870500,0,0
1696582871000,0,0
1696582871500,0,0
1696582872000,0,0
1696582872500,0,0
1696582873000,0,0
1696582873500,0,0
1696582874000,0,0
1696582874500,0,0
1696582875000,0,0
1696582875500,0,0
1696582876000,0,0
1696582876500,0,0
1696582877000,0,0
1696582877500,0,0
1696582878000,0,0
1696582878500,0,0
1696582879000,0,0
1696582879500,0,0
1696582880000,0,0
1696582880500,0,0
1696582881000,0,0
1696582881500,0,0
1696582882000,0,0
1696582882500,0,0
1696582883000,0,0
1696582883500,0,0
1696582884000,0,0
1696582884500,0,0
1696582885000,0,0
1696582885500,0,0
1696582886000,0,0
1696582886500,0,0
1696582887000,0,0
1696582887500,0,0
1696582888000,0,0
1696582888500,0,0
1696582889000,0,0
1696582889500,0,0
1696582890000,0,0
1696582890500,0,0
1696582891000,0,0
1696582891500,0,0
1696582892000,0,0
1696582892500,0,0
1696582893000,0,0
1696582893500,0,0
1696582894000,0,0
1696582894500,0,0
1696582895000,0,0
1696582895500,0,0
1696582896000,0,0
1696582896500,0,0
1696582897000,0,0
1696582897500,0,0
1696582898000,0,0
1696582898500,0,0
1696582899000,0,0
1696582899500,0,0
1696582900000,0,0
1696582900500,0,0
1696582901000,0,0
1696582901500,0,0
1696582902000,0,0
1696582902500,0,0
1696582903000,0,0
1696582903500,0,0
1696582904000,0,0
1696582904500,0,0
1696582905000,0,0
1696582905500,0,0
1696582906000,0,0
1696582906500,0,0
1696582907000,0,0
1696582907500,0,0
1696582908000,0,0
1696582908500,0,0
1696582909000,0,0
1696582909500,0,0
1696582910000,0,0
1696582910500,103.8,6
1696582911000,178.6,15.4
1696582911500,211.7,19.2
1696582912000,36.1,3.7
1696582912500,23.9,2.3
1696582913000,32.7,3.3
1696582913500,31,2.9
1696582914000,23.7,2.2
1696582914500,28.9,3
1696582915000,12.9,1
1696582915500,17.5,1.6
1696582916000,24.8,2.3
1696582916500,31.1,2.8
1696582917000,17.1,1.7
1696582917500,20.6,2
1696582918000,31,2.9
1696582918500,27.3,2.8
1696582919000,68.1,1
1696582919500,93.6,1.6
1696582920000,33,0.4
1696582920500,35.8,2.4
1696582921000,125.7,5.3
1696582921500,11.6,0.4
1696582922000,210.9,13.6
1696582922500,213.9,19.1
1696582923000,212.6,25.8
1696582923500,205.4,31.3
1696582924000,201,35.9
1696582924500,-27.7,-1.8
1696582925000,215.8,41
1696582925500,28,6.8
1696582926000,154.4,30.5
1696582926500,107.5,22.2
1696582927000,31.1,6.5
1696582927500,131.4,25.6
1696582928000,94.4,21
1696582928500,1.5,0.9
1696582929000,38.6,7.6
1696582929500,96.4,19.9
1696582930000,11.8,2.6
1696582930500,34.9,7.9
1696582931000,,
1696582931500,85.6,17.6
1696582932000,112.3,22.7
1696582932500,191,40.3
1696582933000,133.3,29.2
1696582933500,214.1,50.1
1696582934000,-29.7,-2.6
1696582934500,-8.4,-0.5
1696582935000,225.8,40
1696582935500,256.6,48.6
1696582936000,4.5,1
1696582936500,105.9,18.2
1696582937000,92.2,17.3
1696582937500,282.6,46.8
1696582938000,-14.9,-0.9
1696582938500,55.1,12.9
1696582939000,76.7,15
1696582939500,,
1696582940000,19.9,3.9
1696582940500,50.4,10.2
1696582941000,50.4,10.8
1696582941500,66.8,13.6
1696582942000,193,41.7
1696582942500,119.4,25.6
1696582943000,52.5,11.1
1696582943500,27.7,5.8
1696582944000,76.5,16.4
1696582944500,19.6,4.6
1696582945000,-22.1,-2.4
1696582945500,194.4,36.4
1696582946000,74.3,15.2
1696582946500,148.5,28.9
1696582947000,97.3,20.2
1696582947500,119.4,23.1
1696582948000,100.9,20
1696582948500,98.9,22.3
1696582949000,14.7,3.1
1696582949500,249.9,47.4
1696582950000,121.5,27.9
1696582950500,-1,0.7
1696582951000,145.7,32.4
1696582951500,105.5,24.4
1696582952000,58,13.5
1696582952500,21.9,4.2
1696582953000,255.9,44.8
1696582953500,,
1696582954000,177.1,42.5
1696582954500,,
