"Time","Input Voltage"
1696582869000,0
1696582869500,0
1696582870000,0
1696582870500,0.2
1696582871000,0
1696582871500,0
1696582872000,0
1696582872500,0
1696582873000,0
1696582873500,0
1696582874000,0
1696582874500,0
1696582875000,0
1696582875500,0
1696582876000,0
1696582876500,0
1696582877000,0
1696582877500,0
1696582878000,0
1696582878500,0
1696582879000,0
1696582879500,0
1696582880000,0
1696582880500,0
1696582881000,0.2
1696582881500,0
1696582882000,0
1696582882500,0
1696582883000,0
1696582883500,0.2
1696582884000,0
1696582884500,0
1696582885000,0
1696582885500,0.2
1696582886000,0
1696582886500,0
1696582887000,0
1696582887500,0
1696582888000,0
1696582888500,0
1696582889000,0
1696582889500,0
1696582890000,0.4
1696582890500,0
1696582891000,0
1696582891500,0.2
1696582892000,0
1696582892500,0
1696582893000,0
1696582893500,0
1696582894000,0
1696582894500,201.4
1696582895000,410
1696582895500,484.6
1696582896000,520
1696582896500,536.6
1696582897000,536.6
1696582897500,537
1696582898000,536.2
1696582898500,536.8
1696582899000,536.8
1696582899500,536.6
1696582900000,537
1696582900500,536.6
1696582901000,536.8
1696582901500,536.2
1696582902000,537.2
1696582902500,536.8
1696582903000,536.6
1696582903500,536.8
1696582904000,536.4
1696582904500,536.8
1696582905000,536.6
1696582905500,536.4
1696582906000,536.6666666666666
1696582906500,536.8333333333334
1696582907000,536.8
1696582907500,537
1696582908000,537
1696582908500,536.8
1696582909000,537
1696582909500,536.6666666666666
1696582910000,537
1696582910500,535.4
1696582911000,535
1696582911500,530.8
1696582912000,534.8
1696582912500,536
1696582913000,536
1696582913500,535.2
1696582914000,536
1696582914500,535.4
1696582915000,535.8
1696582915500,535.5
1696582916000,535.4
1696582916500,535.75
1696582917000,535.8
1696582917500,535.8
1696582918000,535.6
1696582918500,535.25
1696582919000,536
1696582919500,537.2
1696582920000,536.4
1696582920500,536.2
1696582921000,536.2
1696582921500,536
1696582922000,535.8
1696582922500,531.6
1696582923000,527
1696582923500,522.6
1696582924000,522.2
1696582924500,537.4
1696582925000,523.2
1696582925500,533.4
1696582926000,529.8
1696582926500,528.6
1696582927000,533.6
1696582927500,525.4
1696582928000,525.8
1696582928500,536.4
1696582929000,534
1696582929500,529.2
1696582930000,534.3333333333334
1696582930500,531
1696582931000,
1696582931500,528.4
1696582932000,529.6666666666666
1696582932500,530.4
1696582933000,530
1696582933500,517.6
1696582934000,536.6
1696582934500,536.4
1696582935000,517.6
1696582935500,521.6
1696582936000,535.8
1696582936500,532
1696582937000,531.4
1696582937500,524.4
1696582938000,536
1696582938500,527
1696582939000,529.6666666666666
1696582939500,
1696582940000,533.6
1696582940500,530.2
1696582941000,530
1696582941500,528
1696582942000,521.6
1696582942500,527.1666666666666
1696582943000,530
1696582943500,532
1696582944000,527.6
1696582944500,535.2
1696582945000,536.6
1696582945500,526.2
1696582946000,528.6
1696582946500,526.8
1696582947000,530.25
1696582947500,526
1696582948000,531.6
1696582948500,524.8
1696582949000,534.2
1696582949500,517.4
1696582950000,526.5
1696582950500,534.6
1696582951000,523
1696582951500,524.2
1696582952000,529.8
1696582952500,534.25
1696582953000,514.4
1696582953500,
1696582954000,
1696582954500,
1696582955000,535
1696582955500,534
1696582956000,
1696582956500,534
1696582957000,
1696582957500,525
1696582958000,
1696582958500,531
1696582959000,531
1696582959500,
1696582960000,529
1696582960500,
1696582961000,532
1696582961500,
1696582962000,532
1696582962500,532
1696582963000,
1696582963500,534
1696582964000,533
1696582964500,533
1696582965000,
1696582965500,533
1696582966000,
1696582966500,533
1696582967000,533
1696582967500,532.4
1696582968000,532.8
1696582968500,535
1696582969000,535.4
1696582969500,531
1696582970000,530.6
1696582970500,535.2
1696582971000,534.75
1696582971500,533
1696582972000,534.2
1696582972500,534.4
1696582973000,534.4
1696582973500,534.4
1696582974000,532.6666666666666
1696582974500,529
1696582975000,525.2
1696582975500,521.2
1696582976000,519.8
1696582976500,534.6
1696582977000,529.2
1696582977500,524.4
1696582978000,530.2
1696582978500,527.8
1696582979000,531.4
1696582979500,529.4
1696582980000,528.4
1696582980500,530.2
1696582981000,529.2
1696582981500,
1696582982000,
1696582982500,529
1696582983000,528.2
1696582983500,528.4
1696582984000,529.6
1696582984500,528.2
1696582985000,528.6
1696582985500,523.4
1696582986000,525.8
1696582986500,533
1696582987000,527.4
1696582987500,529.2
1696582988000,529
1696582988500,531.2
1696582989000,529.25
1696582989500,
1696582990000,528.2
1696582990500,528.4
1696582991000,531.6
1696582991500,531
1696582992000,530.2
1696582992500,529.75
1696582993000,528.2
1696582993500,527.8
1696582994000,529.2
1696582994500,527.8
1696582995000,527.8
1696582995500,527.8
1696582996000,528
1696582996500,528
1696582997000,525
1696582997500,529.8
1696582998000,529.2
1696582998500,534.8
1696582999000,524.6
1696582999500,527
1696583000000,526.8
1696583000500,521.2
1696583001000,528.8
1696583001500,525.2
1696583002000,530.8
1696583002500,527.8
1696583003000,528.4
1696583003500,532.2
1696583004000,514.25
1696583004500,507.6
1696583005000,504.4
1696583005500,519.6
1696583006000,533.2
1696583006500,533.8
1696583007000,533.6
1696583007500,534
1696583008000,533.8
1696583008500,533.8
1696583009000,529.4
1696583009500,528.8
1696583010000,529.8
1696583010500,529.6
1696583011000,530.6
1696583011500,529.6
1696583012000,530.6
1696583012500,530.8
1696583013000,531.6
1696583013500,530.8
1696583014000,533.8333333333334
1696583014500,533.8
1696583015000,531.8
1696583015500,531.8
1696583016000,533.8
1696583016500,533.4
1696583017000,532
1696583017500,532
1696583018000,532
1696583018500,533.4
1696583019000,532.6
1696583019500,531.2
1696583020000,531.6
1696583020500,530.8
1696583021000,533.6
1696583021500,532.8
1696583022000,532.8
1696583022500,533.6
1696583023000,534
1696583023500,533.8
1696583024000,533.6
1696583024500,533.8
1696583025000,533.8
1696583025500,533.8
1696583026000,533.6
1696583026500,533.6
1696583027000,534
1696583027500,534
1696583028000,533.8
1696583028500,533.8
1696583029000,534.2
1696583029500,533.8
1696583030000,534
1696583030500,534.2
1696583031000,533.8
1696583031500,534
1696583032000,534.4
1696583032500,533.8
1696583033000,534
1696583033500,534.2
1696583034000,534.2
1696583034500,534
1696583035000,534
1696583035500,534.2
1696583036000,534.4
1696583036500,534.4
1696583037000,534.6
1696583037500,534
1696583038000,534
1696583038500,534.2
1696583039000,534.6
1696583039500,534
1696583040000,534.2
1696583040500,534
1696583041000,534.2
1696583041500,534.4
1696583042000,534.1666666666666
1696583042500,534.2
1696583043000,533.8
1696583043500,534.2
1696583044000,534.2
1696583044500,501.2
1696583045000,363.2
1696583045500,283.5
1696583046000,
1696583046500,117.66666666666667
1696583047000,89.4
1696583047500,64.75
1696583048000,47.8
1696583048500,33.6
1696583049000,23.2
1696583049500,16.8
1696583050000,12
1696583050500,8.8
1696583051000,6
1696583051500,4.2
1696583052000,3.2
1696583052500,1.8333333333333333
1696583053000,1
1696583053500,1
1696583054000,0.6
1696583054500,0
1696583055000,0
1696583055500,0
1696583056000,0
1696583056500,0
1696583057000,0
1696583057500,0
1696583058000,0.2
1696583058500,0.4
1696583059000,0
1696583059500,0.2
1696583060000,0
1696583060500,0
1696583061000,0.2
1696583061500,0
1696583062000,0
1696583062500,0.2
1696583063000,0.2
1696583063500,0.2
1696583064000,0
1696583064500,0
1696583065000,0
1696583065500,0
1696583066000,0
1696583066500,0
1696583067000,0
1696583067500,0
1696583068000,0
1696583068500,0
1696583069000,0.2
1696583069500,0
1696583070000,0
1696583070500,0
1696583071000,0
1696583071500,0
1696583072000,0
1696583072500,0
1696583073000,0.2
1696583073500,0
1696583074000,0.2
1696583074500,0.2
1696583075000,0
1696583075500,0.2
1696583076000,0
1696583076500,0.2
1696583077000,0
1696583077500,0
1696583078000,0
1696583078500,0.2
1696583079000,0
1696583079500,0
1696583080000,0.2
1696583080500,0
1696583081000,0
1696583081500,0
1696583082000,0.2
1696583082500,0
1696583083000,0
1696583083500,0
1696583084000,0
1696583084500,0
1696583085000,0.2
1696583085500,0
1696583086000,0
1696583086500,0
1696583087000,0.2
1696583087500,0.2
1696583088000,0
1696583088500,0
1696583089000,0
1696583089500,0
1696583090000,0
1696583090500,0.2
1696583091000,0.2
1696583091500,0
1696583092000,0
1696583092500,0
1696583093000,0.2
1696583093500,0.2
1696583094000,0
1696583094500,0.2
1696583095000,0
1696583095500,0.2
1696583096000,0
1696583096500,0
1696583097000,0
1696583097500,0.2
1696583098000,0
1696583098500,0
1696583099000,0
1696583099500,0
1696583100000,0
1696583100500,0
1696583101000,0.2
1696583101500,0.2
1696583102000,0
1696583102500,0
1696583103000,0
1696583103500,0
1696583104000,0.2
1696583104500,0
1696583105000,0.2
1696583105500,0
1696583106000,0
1696583106500,0.2
1696583107000,0
1696583107500,0
1696583108000,0
1696583108500,0
1696583109000,0
1696583109500,0
1696583110000,0
1696583110500,0
1696583111000,0.2
1696583111500,0
1696583112000,0.2
1696583112500,0.2
1696583113000,0
1696583113500,0
1696583114000,0.2
1696583114500,0
1696583115000,0
1696583115500,0
1696583116000,0
1696583116500,0
1696583117000,0.4
1696583117500,0
1696583118000,0
1696583118500,0
1696583119000,0
1696583119500,0
1696583120000,0
1696583120500,0
1696583121000,0.2
1696583121500,0
1696583122000,0
1696583122500,0.2
1696583123000,0
1696583123500,0
1696583124000,0.2
1696583124500,0
1696583125000,0
1696583125500,0
1696583126000,0.2
1696583126500,0
1696583127000,0
1696583127500,0
1696583128000,0
1696583128500,0
1696583129000,0.4
1696583129500,0
1696583130000,0.2
1696583130500,0
1696583131000,0
1696583131500,0
1696583132000,0
1696583132500,0
1696583133000,0.2
1696583133500,0
1696583134000,0
1696583134500,0.2
1696583135000,0
1696583135500,0
1696583136000,0
1696583136500,0
1696583137000,0
1696583137500,0
1696583138000,0.16666666666666666
1696583138500,0
1696583139000,0
1696583139500,0
1696583140000,0
1696583140500,0
1696583141000,0
1696583141500,0
1696583142000,0
1696583142500,0
1696583143000,0
1696583143500,0
1696583144000,0
1696583144500,0.4
1696583145000,0
1696583145500,0
1696583146000,0
1696583146500,0
1696583147000,0.4
1696583147500,0.2
1696583148000,0
1696583148500,0
1696583149000,0
1696583149500,0
1696583150000,0
1696583150500,0
1696583151000,0
1696583151500,0
1696583152000,0
1696583152500,0.25
1696583153000,0
1696583153500,0.2
1696583154000,0
1696583154500,0
1696583155000,0.4
1696583155500,0
1696583156000,0
1696583156500,0
1696583157000,0.2
1696583157500,0
1696583158000,0.2
1696583158500,0.2
1696583159000,0
1696583159500,0.2
1696583160000,0
1696583160500,0
1696583161000,0
1696583161500,0.2
1696583162000,0
1696583162500,0
1696583163000,0
1696583163500,0
1696583164000,0
1696583164500,0
1696583165000,0
1696583165500,0
1696583166000,0
1696583166500,0
1696583167000,0
1696583167500,0
1696583168000,0
1696583168500,0
1696583169000,0
1696583169500,0
1696583170000,0
1696583170500,0
1696583171000,0
1696583171500,0
1696583172000,0.2
1696583172500,0
1696583173000,0
1696583173500,0
1696583174000,0
1696583174500,0.2
1696583175000,0.2
1696583175500,0
1696583176000,0.2
1696583176500,0.2
1696583177000,0.2
1696583177500,0.2
1696583178000,0.4
1696583178500,0
1696583179000,0
1696583179500,0
1696583180000,0.4
1696583180500,0.2
1696583181000,0
1696583181500,0
1696583182000,0
1696583182500,0
1696583183000,0.2
1696583183500,0
1696583184000,0
1696583184500,0
1696583185000,0
1696583185500,0.2
1696583186000,0
1696583186500,0.2
1696583187000,0
1696583187500,0
1696583188000,0
1696583188500,0
1696583189000,0
1696583189500,0
1696583190000,0
1696583190500,0
1696583191000,0
1696583191500,0
1696583192000,0.2
1696583192500,0
1696583193000,0
1696583193500,0.4
1696583194000,0
1696583194500,0
1696583195000,0
1696583195500,0
1696583196000,0
1696583196500,0
1696583197000,0
1696583197500,0
1696583198000,0
1696583198500,0
1696583199000,153
1696583199500,389
1696583200000,476
1696583200500,511.6
1696583201000,534.8
1696583201500,535
1696583202000,534.4
1696583202500,534.6
1696583203000,534.6
1696583203500,535
1696583204000,534.8
1696583204500,534.4
1696583205000,534.6
1696583205500,535.25
