"Time","AC Power","DC Power"
1696582869000,0,0
1696582869500,0,0
1696582870000,0,0
1696582870500,0,0
1696582871000,0,0
1696582871500,0,0
1696582872000,0,0
1696582872500,0,0
1696582873000,0,0
1696582873500,0,0
1696582874000,0,0
1696582874500,0,0
1696582875000,0,0
1696582875500,0,0
1696582876000,0,0
1696582876500,0,0
1696582877000,0,0
1696582877500,0,0
1696582878000,0,0
1696582878500,0,0
1696582879000,0,0
1696582879500,0,0
1696582880000,0,0
1696582880500,0,0
1696582881000,0,0
1696582881500,0,0
1696582882000,0,0
1696582882500,0,0
1696582883000,0,0
1696582883500,0,0
1696582884000,0,0
1696582884500,0,0
1696582885000,0,0
1696582885500,0,0
1696582886000,0,0
1696582886500,0,0
1696582887000,0,0
1696582887500,0,0
1696582888000,0,0
1696582888500,0,0
1696582889000,0,0
1696582889500,0,0
1696582890000,0,0
1696582890500,0,0
1696582891000,0,0
1696582891500,0,0
1696582892000,0,0
1696582892500,0,0
1696582893000,0,0
1696582893500,0,0
1696582894000,0,0
1696582894500,0,0
1696582895000,0,0
1696582895500,0,0
1696582896000,0,0
1696582896500,0,0
1696582897000,0,0
1696582897500,0,0
1696582898000,0,0
1696582898500,0,0
1696582899000,0,0
1696582899500,0,0
1696582900000,0,0
1696582900500,0,0
1696582901000,0,0
1696582901500,0,0
1696582902000,0,0
1696582902500,0,0
1696582903000,0,0
1696582903500,0,0
1696582904000,0,0
1696582904500,0,0
1696582905000,0,0
1696582905500,0,0
1696582906000,0,0
1696582906500,0,0
1696582907000,0,0
1696582907500,0,0
1696582908000,0,0
1696582908500,0,0
1696582909000,0,0
1696582909500,0,0
1696582910000,0,0
1696582910500,298.75404599999996,3222
1696582911000,1560.388908,8254.4
1696582911500,4483.727671,10214.4
1696582912000,887.82535,1979.5
1696582912500,607.3386739999999,1235.1
1696582913000,808.825671,1772.1
1696582913500,760.8888,1554.3999999999999
1696582914000,586.0976820000001,1181.4
1696582914500,712.1595799999999,1608
1696582915000,324.16668000000004,536
1696582915500,422.88644999999997,857.6
1696582916000,605.69164,1232.8
1696582916500,756.5277150000001,1500.8
1696582917000,413.96996700000005,911.1999999999999
1696582917500,493.985528,1072
1696582918000,749.71702,1554.3999999999999
1696582918500,630.7195439999999,1500.8
1696582919000,1621.422183,536
1696582919500,1820.5930079999998,860.8000000000001
1696582920000,379.91844,214.8
1696582920500,363.33706399999994,1291.2
1696582921000,931.7059979999999,2846.1
1696582921500,28.189508,214.4
1696582922000,851.451807,7303.2
1696582922500,3736.5527909999996,10180.300000000001
1696582923000,7324.150787999999,13622.4
1696582923500,10051.994601999999,16401.2
1696582924000,12219.234209999999,19170.6
1696582924500,-1676.6596710000001,-968.4
1696582925000,14927.636984,21935
1696582925500,1845.22352,3631.2
1696582926000,10637.525416000002,16287
1696582926500,7725.134899999999,11832.6
1696582927000,2179.920601,3477.5
1696582927500,10015.996536,13619.2
1696582928000,7153.827407999999,11130
1696582928500,109.114785,484.2
1696582929000,2717.27981,4066
1696582929500,6869.725244,10566.9
1696582930000,824.752032,1391
1696582930500,2435.5697899999996,4194.900000000001
1696582931000,,
1696582931500,6165.120008,9328
1696582932000,8769.557535,12121.8
1696582932500,14622.2724,21600.8
1696582933000,10180.948793000001,15622
1696582933500,21241.212124,26803.5
1696582934000,-2076.292845,-1396.2
1696582934500,-530.658576,-269
1696582935000,15191.60949,21120
1696582935500,19256.983220000002,25758
1696582936000,322.260075,538
1696582936500,7205.821476,9737
1696582937000,6384.530066000001,9238.2
1696582937500,22089.005100000002,25178.399999999998
1696582938000,-1051.945811,-483.3
1696582938500,4053.2303850000003,6798.3
1696582939000,5560.352693999999,7965
1696582939500,,
1696582940000,1434.990791,2086.5
1696582940500,3539.851056,5436.599999999999
1696582941000,3518.987976,5745.6
1696582941500,4764.578136,7194.4
1696582942000,15269.77786,22059.300000000003
1696582942500,9825.815244000001,13593.6
1696582943000,4123.270724999999,5894.099999999999
1696582943500,2163.2403639999998,3097.2
1696582944000,5844.2702850000005,8692
